gen_id,gen_adi,WT_1,WT_2,WT_3,KO_1,KO_2,KO_3
ENSMUSG00000015880.14,Ncapg,2237,1505,3547,1288,2049,1349
ENSMUSG00000015882.19,Lcorl,195,120,342,146,168,181
ENSMUSG00000015889.9,Lta4h,789,616,1607,882,1256,1001
ENSMUSG00000015890.3,Amdhd1,89,91,177,43,83,74
ENSMUSG00000015932.9,Dstn,2256,2611,4275,1653,1883,2787
ENSMUSG00000015937.16,Macroh2a1,1060,924,2912,1623,2158,1693
ENSMUSG00000015942.10,Gtf2ird2,83,47,199,135,175,98
ENSMUSG00000015943.12,Bola1,583,598,1016,265,408,469
ENSMUSG00000015944.10,Castor2,19,29,92,74,108,106
ENSMUSG00000015947.11,Fcgr1,84,89,288,90,114,82
ENSMUSG00000015950.14,Ncf1,240,257,644,611,662,376
ENSMUSG00000015957.13,Wnt11,1,10,23,7,25,12
ENSMUSG00000015961.9,Adss2,676,453,2121,507,828,632
ENSMUSG00000015962.6,Spmip3,0,0,0,0,0,0
ENSMUSG00000015966.18,Il17rb,15,11,37,44,67,45
ENSMUSG00000015968.19,Cacna1d,3,12,14,13,14,11
ENSMUSG00000015970.20,Chdh,59,32,146,97,150,150
ENSMUSG00000015971.6,Actr8,486,449,887,585,848,709
ENSMUSG00000015980.15,Lrrc27,11,3,8,16,13,5
ENSMUSG00000015981.13,Stk32c,1,2,7,6,7,5
ENSMUSG00000015994.11,Fnta,1224,1049,2189,905,1303,1143
ENSMUSG00000016018.5,Mtrex,1499,1001,3031,1224,2152,1517
ENSMUSG00000016024.10,Lbp,187,128,1027,235,377,262
ENSMUSG00000016028.12,Celsr1,6,6,36,20,29,11
ENSMUSG00000016087.14,Fli1,118,139,292,272,257,494
ENSMUSG00000016128.15,Stard13,24,12,80,24,46,24
ENSMUSG00000016150.16,Tenm1,0,0,2,0,2,0
ENSMUSG00000016179.12,Camk1g,0,4,7,2,5,4
ENSMUSG00000016181.11,Utp25,330,314,798,331,504,304
ENSMUSG00000016194.15,Hsd11b1,22,19,75,51,46,28
ENSMUSG00000016200.15,Syt14,12,5,32,32,51,24
ENSMUSG00000016206.7,H2-M3,30,12,48,25,32,29
ENSMUSG00000016239.12,Lonrf3,2,4,24,4,16,9
ENSMUSG00000016252.8,Atp5f1e,4052,5996,5723,2994,4397,4182
ENSMUSG00000016253.13,Nelfcd,2270,1901,5496,2199,3312,1911
ENSMUSG00000016255.6,Tubb1,168,126,586,501,806,1050
ENSMUSG00000016256.11,Ctsz,1483,1438,4846,1498,2421,1721
ENSMUSG00000016257.16,Prelid3b,2014,1538,4343,1076,1655,1360
ENSMUSG00000016262.15,Sertad4,1,9,8,9,28,3
ENSMUSG00000016283.14,H2-M2,1,2,5,6,5,5
ENSMUSG00000016308.14,Ube2a,460,489,709,540,700,564
ENSMUSG00000016319.4,Slc25a5,9400,5849,16713,6845,10748,7145
ENSMUSG00000016327.10,Atp1b4,0,0,0,0,1,0
ENSMUSG00000016344.15,Ppdpf,571,577,923,286,370,420
ENSMUSG00000016346.19,Kcnq2,13,13,60,5,13,4
ENSMUSG00000016349.11,Eef1a2,0,0,1,0,0,1
ENSMUSG00000016356.19,Col20a1,6,6,47,44,62,32
ENSMUSG00000016382.16,Pls3,104,59,305,202,275,316
ENSMUSG00000016386.16,Mpped2,7,7,31,20,27,20
ENSMUSG00000016409.5,Nkap,263,239,456,320,400,302
ENSMUSG00000016427.8,Ndufa1,1157,1527,2806,1066,1334,1349
ENSMUSG00000016458.16,Wt1,3,12,40,27,31,21
ENSMUSG00000016477.19,E2f3,429,282,1157,343,491,404
ENSMUSG00000016481.16,Cr1l,1028,785,2375,843,1038,685
ENSMUSG00000016487.16,Ppfibp1,129,88,485,236,333,343
ENSMUSG00000016493.14,Cd46,69,27,114,52,33,40
ENSMUSG00000016494.10,Cd34,199,219,847,617,623,540
ENSMUSG00000016495.13,Plgrkt,287,286,500,371,488,455
ENSMUSG00000016496.8,Cd274,16,30,75,33,34,50
ENSMUSG00000016498.11,Pdcd1lg2,0,0,1,1,1,0
ENSMUSG00000016503.19,Gtf3a,564,551,1467,746,1222,815
ENSMUSG00000016510.12,Mtif3,234,245,520,216,310,337
ENSMUSG00000016520.8,Lnx2,128,121,417,170,305,236
ENSMUSG00000016524.13,Il19,0,0,0,0,1,0
ENSMUSG00000016526.9,Dyrk3,555,362,1460,430,577,261
ENSMUSG00000016528.11,Mapkapk2,557,486,1766,1102,1440,987
ENSMUSG00000016529.6,Il10,2,1,0,0,0,0
ENSMUSG00000016534.16,Lamp2,846,515,2350,1282,1706,1440
